URL,Status Code,Response Time (s),Status,Performance Score,Timestamp
https://github.com,200.0,0.214,UP,467.29,2026-04-07 21:16:41
https://gigatron.rs,200.0,0.115,UP,869.57,2026-04-07 21:16:41
https://sajdksajd.com,,,DOWN (Error),0.0,2026-04-07 21:16:41
https://google.com,200.0,1.254,UP,79.74,2026-04-07 21:21:43
https://github.com,200.0,0.292,UP,342.47,2026-04-07 21:21:43
https://gigatron.rs,200.0,0.108,UP,925.93,2026-04-07 21:21:43
https://sajdksajd.com,,,DOWN (Error),0.0,2026-04-07 21:21:43
https://google.com,200.0,1.203,UP,83.13,2026-04-07 21:26:45
https://github.com,200.0,0.241,UP,414.94,2026-04-07 21:26:45
https://gigatron.rs,200.0,0.11,UP,909.09,2026-04-07 21:26:45
https://sajdksajd.com,,,DOWN (Error),0.0,2026-04-07 21:26:45
https://google.com,200.0,1.745,UP,57.31,2026-04-07 21:44:40
https://github.com,200.0,0.249,UP,401.61,2026-04-07 21:44:40
https://gigatron.rs,200.0,0.139,UP,719.42,2026-04-07 21:44:40
https://sajdksajd.com,,,DOWN (Error),0.0,2026-04-07 21:44:40
https://google.com,200.0,1.365,UP,73.26,2026-04-07 21:52:51
https://github.com,200.0,0.217,UP,460.83,2026-04-07 21:52:51
https://gigatron.rs,200.0,0.129,UP,775.19,2026-04-07 21:52:51
https://sajdksajd.com,,,DOWN (Error),0.0,2026-04-07 21:52:51
https://google.com,200.0,1.189,UP,84.1,2026-04-07 21:57:53
https://github.com,200.0,0.207,UP,483.09,2026-04-07 21:57:53
https://gigatron.rs,200.0,0.105,UP,952.38,2026-04-07 21:57:53
https://sajdksajd.com,,,DOWN (Error),0.0,2026-04-07 21:57:53
https://google.com,200.0,1.382,UP,72.36,2026-04-07 22:02:55
https://github.com,200.0,0.241,UP,414.94,2026-04-07 22:02:55
https://gigatron.rs,200.0,0.167,UP,598.8,2026-04-07 22:02:55
https://sajdksajd.com,,,DOWN (Error),0.0,2026-04-07 22:02:55
https://google.com,200.0,1.654,UP,60.46,2026-04-07 22:07:58
https://github.com,200.0,0.438,UP,228.31,2026-04-07 22:07:58
https://gigatron.rs,200.0,0.323,UP,309.6,2026-04-07 22:07:58
https://sajdksajd.com,,,DOWN (Error),0.0,2026-04-07 22:07:58
https://google.com,200.0,1.297,UP,77.1,2026-04-07 22:13:00
https://github.com,200.0,0.509,UP,196.46,2026-04-07 22:13:00
https://gigatron.rs,200.0,0.166,UP,602.41,2026-04-07 22:13:00
https://sajdksajd.com,,,DOWN (Error),0.0,2026-04-07 22:13:00
https://google.com,200.0,1.191,UP,83.96,2026-04-07 22:18:03
https://github.com,200.0,0.374,UP,267.38,2026-04-07 22:18:03
https://gigatron.rs,200.0,0.151,UP,662.25,2026-04-07 22:18:03
https://sajdksajd.com,,,DOWN (Error),0.0,2026-04-07 22:18:03
https://google.com,200.0,1.773,UP,56.4,2026-04-07 22:35:55
https://github.com,200.0,0.276,UP,362.32,2026-04-07 22:35:55
https://gigatron.rs,200.0,0.193,UP,518.13,2026-04-07 22:35:55
https://sajdksajd.com,,,DOWN (Error),0.0,2026-04-07 22:35:55
https://google.com,200.0,1.862,UP,53.71,2026-04-07 22:52:50
https://github.com,200.0,0.463,UP,215.98,2026-04-07 22:52:50
https://gigatron.rs,200.0,0.154,UP,649.35,2026-04-07 22:52:50
https://sajdksajd.com,,,DOWN (Error),0.0,2026-04-07 22:52:50
https://google.com,200.0,0.982,UP,101.83,2026-04-07 23:08:34
https://github.com,200.0,0.195,UP,512.82,2026-04-07 23:08:34
https://gigatron.rs,200.0,0.088,UP,1136.36,2026-04-07 23:08:34
https://sajdksajd.com,,,DOWN (Error),0.0,2026-04-07 23:08:34
https://google.com,200.0,1.159,UP,86.28,2026-04-07 23:24:52
https://github.com,200.0,0.23,UP,434.78,2026-04-07 23:24:52
https://gigatron.rs,200.0,0.113,UP,884.96,2026-04-07 23:24:52
https://sajdksajd.com,,,DOWN (Error),0.0,2026-04-07 23:24:52
https://google.com,200.0,0.64,UP,156.25,2026-04-07 23:42:17
https://github.com,200.0,0.24,UP,416.67,2026-04-07 23:42:17
https://gigatron.rs,200.0,0.092,UP,1086.96,2026-04-07 23:42:17
https://sajdksajd.com,,,DOWN (Error),0.0,2026-04-07 23:42:17
https://google.com,200.0,0.959,UP,104.28,2026-04-07 23:57:46
https://github.com,200.0,0.233,UP,429.18,2026-04-07 23:57:46
https://gigatron.rs,200.0,0.098,UP,1020.41,2026-04-07 23:57:46
https://sajdksajd.com,,,DOWN (Error),0.0,2026-04-07 23:57:46
https://google.com,200.0,0.917,UP,109.05,2026-04-08 00:13:24
https://github.com,200.0,0.235,UP,425.53,2026-04-08 00:13:24
https://gigatron.rs,200.0,0.089,UP,1123.6,2026-04-08 00:13:24
https://sajdksajd.com,,,DOWN (Error),0.0,2026-04-08 00:13:24
https://google.com,200.0,0.901,UP,110.99,2026-04-08 00:28:43
https://github.com,200.0,0.217,UP,460.83,2026-04-08 00:28:43
https://gigatron.rs,200.0,0.096,UP,1041.67,2026-04-08 00:28:43
https://sajdksajd.com,,,DOWN (Error),0.0,2026-04-08 00:28:43
https://google.com,200.0,0.648,UP,154.32,2026-04-08 00:44:55
https://github.com,200.0,0.213,UP,469.48,2026-04-08 00:44:55
https://gigatron.rs,200.0,0.098,UP,1020.41,2026-04-08 00:44:55
https://sajdksajd.com,,,DOWN (Error),0.0,2026-04-08 00:44:55
https://google.com,200.0,0.601,UP,166.39,2026-04-08 01:00:05
https://github.com,200.0,0.257,UP,389.11,2026-04-08 01:00:05
https://gigatron.rs,200.0,0.106,UP,943.4,2026-04-08 01:00:05
https://sajdksajd.com,,,DOWN (Error),0.0,2026-04-08 01:00:05
https://google.com,200.0,0.635,UP,157.48,2026-04-08 01:17:42
https://github.com,200.0,0.212,UP,471.7,2026-04-08 01:17:42
https://gigatron.rs,200.0,0.091,UP,1098.9,2026-04-08 01:17:42
https://sajdksajd.com,,,DOWN (Error),0.0,2026-04-08 01:17:42
https://google.com,200.0,0.622,UP,160.77,2026-04-08 01:34:00
https://github.com,200.0,0.213,UP,469.48,2026-04-08 01:34:00
